Sending;Receiving;Number;Type
I1L;I2L;10;S
I1L;I3;3;S
I1L;I5;2;S
I1L;I6;1;S
I1L;M2L;3;S
I1L;M3L;8;S
I1L;M3R;2;S
I1L;MCL;2;S
I1L;MCR;2;S
I1L;MI;2;S
I1L;NSML;3;S
I1R;I2R;6;S
I1R;I3;1;S
I1R;I5;2;S
I1R;M1;1;S
I1R;M2L;1;S
I1R;M2R;3;S
I1R;M3L;1;S
I1R;M3R;6;S
I1R;MCL;3;S
I1R;MCR;4;S
I1R;MI;1;S
I2L;I1L;2;S
I3;I1L;1;S
I5;I1L;2;S
I1R;NSML;1;S
I2L;I2R;3;S
I2L;I4;13;S
I2L;I5;2;S
I2L;I6;2;S
I2L;M1;1;S
I2L;M3R;3;S
I2L;M4;4;S
I2R;I1R;1;S
I2L;NSML;14;S
I2R;I2L;3;S
I2R;I4;20;S
I2R;I5;2;S
I2R;I6;3;S
I2R;M1;3;S
I2R;M2R;2;S
I2R;M3R;2;S
I2R;M4;3;S
I2R;MCL;1;S
I2R;NSML;34;S
I3;I1R;1;S
I3;I5;2;S
I3;I6;1;S
I3;M1;2;S
I3;M2L;2;S
I3;M3L;2;S
I3;M3R;2;S
I3;M4;2;S
I3;MCL;1;S
I3;MCR;2;S
I3;MI;1;S
I4;I2R;7;S
I4;I5;2;S
I4;M2L;5;S
I4;M3L;6;S
I4;M3R;22;S
I4;MI;1;S
I4;NSML;8;S
I5;I2L;3;S
I5;I2R;1;S
I5;I3;1;S
I5;I4;7;S
I5;M1;3;S
I5;M2L;4;S
I5;M3L;4;S
I5;M3R;2;S
I5;M4;19;S
I5;M5;2;S
I5;MI;4;S
I5;NSML;1;S
I6;I1R;1;S
I6;I2L;1;S
I6;I2R;4;S
I6;I3;12;S
I6;M3L;10;S
I6;M4;15;S
I6;NSML;24;S
M1;I1R;1;S
M1;I2L;3;S
M1;I2R;2;S
M1;I3;8;S
M1;I4;1;S
M1;I5;2;S
M1;M4;1;S
M1;M5;1;S
M1;MI;6;S
M1;NSML;2;S
M2L;I3;2;S
M2L;I4;8;S
M2L;I5;2;S
M2L;M3L;3;S
M2L;M3R;1;S
M2R;I4;1;S
M2R;I5;3;S
M2R;M3L;2;S
M2R;M3R;1;S
M3L;NSML;1;S
M3R;M4;2;S
M4;I4;5;S
M4;I5;1;S
M4;M2L;1;S
M4;M3L;1;S
M4;M4;15;S
M4;MCL;1;S
M5;I5;1;S
M5;M1;1;S
MI;I1L;1;S
MI;I3;2;S
MI;I4;1;S
MI;M1;7;S
MI;M2L;3;S
MI;M2R;2;S
MI;M3R;2;S
MI;MCL;3;S
MI;NSML;1;S
NSML;I2L;1;S
NSML;I2R;1;S
NSML;I4;3;S
NSML;I6;4;S
NSML;M3R;24;S
NSML;NSMR;7;S
MI;NSMR;2;S
M2R;NSMR;1;S
I6;NSMR;23;S
I5;NSMR;5;S
I4;NSMR;15;S
I3;NSMR;2;S
I2R;NSMR;7;S
I2L;NSMR;24;S
I1R;NSMR;2;S
I1L;I2L;2;G
I1L;M3L;2;G
I1L;MCR;1;G
I1L;NSML;3;G
I1R;I2R;1;G
I1R;I3;1;G
I1R;MCR;4;G
I1R;NSML;2;G
I2L;I1L;2;G
I2L;I4;1;G
I2L;M2L;1;G
I2R;I1R;1;G
I2R;M1;1;G
I2R;M2R;1;G
I2R;MCR;1;G
I2R;NSMR;1;G
I3;I1R;2;G
I3;M1;1;G
I3;M2R;1;G
I3;MI;1;G
I4;I2L;1;G
I4;M2R;2;G
I4;M4;1;G
I5;M2L;1;G
I5;M2R;1;G
I5;M5;1;G
I6;M4;5;G
M1;I2R;1;G
M1;I3;1;G
M2L;I2L;1;G
M2L;I5;1;G
M2L;M4;1;G
M2L;MCL;1;G
M2R;M2R;1;G
M2R;I3;1;G
M2R;I4;2;G
M2R;I5;1;G
M2R;M3R;1;G
M2R;MCR;11;G
M2R;MI;5;G
M3L;I1L;2;G
M3L;NSMR;1;G
M3R;M2R;1;G
M3R;NSMR;2;G
M4;I4;1;G
M4;I6;5;G
M4;M2L;1;G
M4;M4;1;G
M4;M5;2;G
M5;I5;1;G
M5;M4;2;G
M5;M5;1;G
MCL;M2L;1;G
MCR;I1L;1;G
MCR;I1R;4;G
MCR;I2R;1;G
MCR;M2R;11;G
MI;I3;1;G
MI;M2R;5;G
NSML;I1L;3;G
NSML;NSMR;2;G
NSMR;I1R;2;G
NSMR;I2R;2;G
NSMR;M3L;1;G
NSMR;M3R;2;G
NSMR;NSML;2;G
