Sending,Receiving,Type,Number,IndexSending,IndexReceiving
I1L,I2L,G,2,1,3
I1L,M3L,G,2,1,6
I1L,MCR,G,1,1,10
I1L,NSML,G,3,1,12
I1R,I2R,G,1,2,4
I1R,I3,G,1,2,5
I1R,MCR,G,4,2,10
I1R,NSML,G,2,2,12
I2L,I1L,G,2,3,1
I2L,I4,G,1,3,14
I2L,M2L,G,1,3,18
I2R,I1R,G,1,4,2
I2R,M1,G,1,4,17
I2R,M2R,G,1,4,19
I2R,MCR,G,1,4,10
I2R,NSMR,G,1,4,13
I3,I1R,G,2,5,2
I3,M1,G,1,5,17
I3,M2R,G,1,5,19
I3,MI,G,1,5,11
I4,I2L,G,1,14,3
I4,M2R,G,2,14,19
I4,M4,G,1,14,8
I5,M2L,G,1,15,18
I5,M2R,G,1,15,19
I5,M5,G,1,15,20
I6,M4,G,5,16,8
M1,I2R,G,1,17,4
M1,I3,G,1,17,5
M2L,I2L,G,1,18,3
M2L,I5,G,1,18,15
M2L,M4,G,1,18,8
M2L,MCL,G,1,18,9
M2R,M2R,G,1,19,19
M2R,I3,G,1,19,5
M2R,I4,G,2,19,14
M2R,I5,G,1,19,15
M2R,M3R,G,1,19,7
M2R,MCR,G,11,19,10
M2R,MI,G,5,19,11
M3L,I1L,G,2,6,1
M3L,NSMR,G,1,6,13
M3R,M2R,G,1,7,19
M3R,NSMR,G,2,7,13
M4,I4,G,1,8,14
M4,I6,G,5,8,16
M4,M2L,G,1,8,18
M4,M4,G,1,8,8
M4,M5,G,2,8,20
M5,I5,G,1,20,15
M5,M4,G,2,20,8
M5,M5,G,1,20,20
MCL,M2L,G,1,9,18
MCR,I1L,G,1,10,1
MCR,I1R,G,4,10,2
MCR,I2R,G,1,10,4
MCR,M2R,G,11,10,19
MI,I3,G,1,11,5
MI,M2R,G,5,11,19
NSML,I1L,G,3,12,1
NSML,NSMR,G,2,12,13
NSMR,I1R,G,2,13,2
NSMR,I2R,G,2,13,4
NSMR,M3L,G,1,13,6
NSMR,M3R,G,2,13,7
NSMR,NSML,G,2,13,12
ADAR,ADAL,EJ,1,169,168
ADFL,ADAL,EJ,1,67,168
ASHL,ADAL,EJ,1,89,168
AVDR,ADAL,EJ,2,141,168
PVQL,ADAL,EJ,1,292,168
ADAL,ADAR,EJ,1,168,169
ADFR,ADAR,EJ,1,83,169
ASHR,ADAR,EJ,1,90,169
AVDL,ADAR,EJ,2,140,169
PVQR,ADAR,EJ,1,280,169
AINL,ADEL,EJ,1,135,170
AVKR,ADEL,EJ,1,158,170
AVKL,ADER,EJ,1,163,171
ADAL,ADFL,EJ,1,168,67
ADAR,ADFR,EJ,1,169,83
AIAR,ADFR,EJ,1,134,83
ADLR,ADLL,EJ,1,84,68
AVDR,ADLL,EJ,1,141,68
OLQVL,ADLL,EJ,1,44,68
RMGL,ADLL,EJ,1,179,68
ADLL,ADLR,EJ,1,68,84
AFDR,AFDL,EJ,1,85,69
AIBL,AFDL,EJ,1,86,69
AFDL,AFDR,EJ,1,69,85
AIBR,AFDR,EJ,1,110,85
AIAR,AIAL,EJ,1,134,109
ASIL,AIAL,EJ,2,91,109
AWAL,AIAL,EJ,1,93,109
ADFR,AIAR,EJ,1,83,134
AIAL,AIAR,EJ,1,109,134
ASIR,AIAR,EJ,2,113,134
AWAR,AIAR,EJ,1,94,134
AFDL,AIBL,EJ,1,69,86
DVC,AIBL,EJ,1,277,86
PVT,AIBL,EJ,1,266,86
RIGR,AIBL,EJ,3,178,86
RIMR,AIBL,EJ,1,144,86
RIVL,AIBL,EJ,1,100,86
AFDR,AIBR,EJ,1,85,110
DB01,AIBR,EJ,1,184,110
DVC,AIBR,EJ,2,277,110
PVT,AIBR,EJ,1,266,110
RIGL,AIBR,EJ,3,181,110
RIML,AIBR,EJ,1,123,110
RIS,AIBR,EJ,1,159,110
RIVR,AIBR,EJ,1,125,110
SIBDR,AIML,EJ,1,106,155
ADEL,AINL,EJ,1,170,135
AINR,AINL,EJ,2,136,135
ASGR,AINL,EJ,1,88,135
AUAR,AINL,EJ,1,139,135
AINL,AINR,EJ,2,135,136
ASGL,AINR,EJ,1,87,136
AUAL,AINR,EJ,1,114,136
AIYR,AIYL,EJ,1,154,157
RIML,AIYL,EJ,1,123,157
AIYL,AIYR,EJ,1,157,154
RIMR,AIYR,EJ,1,144,154
AIZR,AIZL,EJ,2,149,148
ASGL,AIZL,EJ,1,87,148
ASHL,AIZL,EJ,1,89,148
AIZL,AIZR,EJ,2,148,149
ASGR,AIZR,EJ,1,88,149
ASHR,AIZR,EJ,1,90,149
AWAR,AIZR,EJ,1,94,149
RID,ALA,EJ,1,55,58
AVM,ALML,EJ,1,213,217
PVR,ALML,EJ,1,293,217
AVM,ALMR,EJ,1,213,218
SMBDR,ALNL,EJ,1,153,281
AVBL,AQR,EJ,1,115,172
AVKL,AQR,EJ,2,163,172
AVKR,AQR,EJ,1,158,172
PVPL,AQR,EJ,7,272,172
PVPR,AQR,EJ,9,265,172
RIGL,AQR,EJ,2,181,172
RIGR,AQR,EJ,1,178,172
AVAL,AS01,EJ,3,72,186
AVAR,AS01,EJ,2,73,186
VA03,AS01,EJ,1,197,186
VD02,AS01,EJ,1,189,186
DA02,AS02,EJ,1,193,192
VA04,AS02,EJ,2,206,192
AVAL,AS03,EJ,2,72,203
AVAR,AS03,EJ,1,73,203
DA02,AS03,EJ,1,193,203
VA05,AS03,EJ,2,212,203
DA03,AS04,EJ,1,205,210
AVAL,AS05,EJ,1,72,220
AVAR,AS05,EJ,1,73,220
VA07,AS05,EJ,1,231,220
AVAL,AS06,EJ,1,72,224
AVAR,AS06,EJ,1,73,224
AVBR,AS06,EJ,1,116,224
DA05,AS06,EJ,2,228,224
VA08,AS06,EJ,1,238,224
AVAL,AS07,EJ,6,72,233
AVAR,AS07,EJ,5,73,233
AVBL,AS07,EJ,2,115,233
AVBR,AS07,EJ,2,116,233
AVAL,AS08,EJ,4,72,242
AVAR,AS08,EJ,3,73,242
AVAL,AS09,EJ,4,72,254
AVAR,AS09,EJ,1,73,254
DVB,AS09,EJ,7,276,254
AVAL,AS10,EJ,1,72,260
AVAR,AS10,EJ,1,73,260
PDB,AS11,EJ,2,271,264
AINR,ASGL,EJ,1,136,87
AIZL,ASGL,EJ,1,148,87
AINL,ASGR,EJ,1,135,88
AIZR,ASGR,EJ,1,149,88
ADAL,ASHL,EJ,1,168,89
AIZL,ASHL,EJ,1,148,89
ASHR,ASHL,EJ,1,90,89
RICL,ASHL,EJ,2,143,89
RMGL,ASHL,EJ,1,179,89
ADAR,ASHR,EJ,1,169,90
AIZR,ASHR,EJ,1,149,90
ASHL,ASHR,EJ,1,89,90
ASKR,ASHR,EJ,1,71,90
RICR,ASHR,EJ,2,150,90
RMGR,ASHR,EJ,1,180,90
AIAL,ASIL,EJ,2,109,91
ASIR,ASIL,EJ,1,113,91
AIAR,ASIR,EJ,2,134,113
ASIL,ASIR,EJ,1,91,113
ASJR,ASJL,EJ,1,138,137
ASJL,ASJR,EJ,1,137,138
ASKR,ASKL,EJ,1,71,70
PVQL,ASKL,EJ,5,292,70
RMGL,ASKL,EJ,1,179,70
ASHR,ASKR,EJ,1,90,71
ASKL,ASKR,EJ,1,70,71
PVQR,ASKR,EJ,4,280,71
RMGR,ASKR,EJ,1,180,71
AINR,AUAL,EJ,1,136,114
AUAR,AUAL,EJ,1,139,114
AWBL,AUAL,EJ,1,95,114
AINL,AUAR,EJ,1,135,139
AUAL,AUAR,EJ,1,114,139
AWBR,AUAR,EJ,1,96,139
AS01,AVAL,EJ,3,186,72
AS03,AVAL,EJ,2,203,72
AS05,AVAL,EJ,1,220,72
AS06,AVAL,EJ,1,224,72
AS07,AVAL,EJ,6,233,72
AS08,AVAL,EJ,4,242,72
AS09,AVAL,EJ,4,254,72
AS10,AVAL,EJ,1,260,72
AVAR,AVAL,EJ,5,73,72
AVJL,AVAL,EJ,2,119,72
DA01,AVAL,EJ,2,187,72
DA02,AVAL,EJ,2,193,72
DA04,AVAL,EJ,3,214,72
DA05,AVAL,EJ,1,228,72
DA06,AVAL,EJ,10,248,72
DA07,AVAL,EJ,2,261,72
DB06,AVAL,EJ,3,243,72
FLPL,AVAL,EJ,1,164,72
LUAL,AVAL,EJ,1,283,72
PVCL,AVAL,EJ,2,290,72
PVCR,AVAL,EJ,5,291,72
PVPL,AVAL,EJ,1,272,72
RIMR,AVAL,EJ,3,144,72
SABD,AVAL,EJ,4,182,72
SABVR,AVAL,EJ,1,167,72
SDQR,AVAL,EJ,1,199,72
URYDL,AVAL,EJ,1,30,72
URYVR,AVAL,EJ,1,50,72
VA01,AVAL,EJ,3,183,72
VA02,AVAL,EJ,4,190,72
VA03,AVAL,EJ,1,197,72
VA04,AVAL,EJ,1,206,72
VA05,AVAL,EJ,5,212,72
VA06,AVAL,EJ,6,222,72
VA07,AVAL,EJ,2,231,72
VA08,AVAL,EJ,10,238,72
VA09,AVAL,EJ,1,252,72
VA10,AVAL,EJ,1,257,72
VA11,AVAL,EJ,1,263,72
VB09,AVAL,EJ,5,239,72
AS01,AVAR,EJ,2,186,73
AS03,AVAR,EJ,1,203,73
AS05,AVAR,EJ,1,220,73
AS06,AVAR,EJ,1,224,73
AS07,AVAR,EJ,5,233,73
AS08,AVAR,EJ,3,242,73
AS09,AVAR,EJ,1,254,73
AS10,AVAR,EJ,1,260,73
AVAL,AVAR,EJ,5,72,73
DA01,AVAR,EJ,6,187,73
DA02,AVAR,EJ,2,193,73
DA03,AVAR,EJ,2,205,73
DA04,AVAR,EJ,2,214,73
DA05,AVAR,EJ,5,228,73
DA06,AVAR,EJ,2,248,73
DA08,AVAR,EJ,1,268,73
DB05,AVAR,EJ,2,225,73
PVCR,AVAR,EJ,3,291,73
RIML,AVAR,EJ,2,123,73
RIMR,AVAR,EJ,1,144,73
SABVL,AVAR,EJ,3,166,73
SABVR,AVAR,EJ,1,167,73
URYDR,AVAR,EJ,1,40,73
URYVL,AVAR,EJ,1,41,73
VA03,AVAR,EJ,2,197,73
VA04,AVAR,EJ,3,206,73
VA05,AVAR,EJ,3,212,73
VA06,AVAR,EJ,2,222,73
VA07,AVAR,EJ,4,231,73
VA08,AVAR,EJ,4,238,73
VA10,AVAR,EJ,1,257,73
VA11,AVAR,EJ,7,263,73
VA12,AVAR,EJ,1,273,73
VB09,AVAR,EJ,4,239,73
AQR,AVBL,EJ,1,172,115
AS07,AVBL,EJ,2,233,115
AVBR,AVBL,EJ,3,116,115
DB03,AVBL,EJ,1,194,115
