Neuron1,Neuron2,Type1,Type2,IndexSending,IndexReceiving
AIAL,AIAL,flp-1,npr-11,109,109
AIAL,AIAR,flp-1,npr-11,109,134
AIAR,AIAL,flp-1,npr-11,134,109
AIAR,AIAR,flp-1,npr-11,134,134
AIAL,AIYL,flp-1,npr-11,109,157
AIAL,AIYR,flp-1,npr-11,109,154
AIAR,AIYL,flp-1,npr-11,134,157
AIAR,AIYR,flp-1,npr-11,134,154
AIAL,AVAL,flp-1,npr-4,109,72
AIAL,AVAR,flp-1,npr-4,109,73
AIAR,AVAL,flp-1,npr-4,134,72
AIAR,AVAR,flp-1,npr-4,134,73
AIAL,BAGL,flp-1,npr-4,109,42
AIAL,BAGR,flp-1,npr-4,109,51
AIAR,BAGL,flp-1,npr-4,134,42
AIAR,BAGR,flp-1,npr-4,134,51
AIAL,BDUL,flp-1,npr-4,109,195
AIAL,BDUR,flp-1,npr-4,109,196
AIAR,BDUL,flp-1,npr-4,134,195
AIAR,BDUR,flp-1,npr-4,134,196
AIAL,PQR,flp-1,npr-4,109,289
AIAR,PQR,flp-1,npr-4,134,289
AIAL,RIVL,flp-1,npr-4,109,100
AIAL,RIVR,flp-1,npr-4,109,125
AIAR,RIVL,flp-1,npr-4,134,100
AIAR,RIVR,flp-1,npr-4,134,125
AIYL,AIAL,flp-1,npr-11,157,109
AIYL,AIAR,flp-1,npr-11,157,134
AIYR,AIAL,flp-1,npr-11,154,109
AIYR,AIAR,flp-1,npr-11,154,134
AIYL,AIYL,flp-1,npr-11,157,157
AIYL,AIYR,flp-1,npr-11,157,154
AIYR,AIYL,flp-1,npr-11,154,157
AIYR,AIYR,flp-1,npr-11,154,154
AIYL,AVAL,flp-1,npr-4,157,72
AIYL,AVAR,flp-1,npr-4,157,73
AIYR,AVAL,flp-1,npr-4,154,72
AIYR,AVAR,flp-1,npr-4,154,73
AIYL,BAGL,flp-1,npr-4,157,42
AIYL,BAGR,flp-1,npr-4,157,51
AIYR,BAGL,flp-1,npr-4,154,42
AIYR,BAGR,flp-1,npr-4,154,51
AIYL,BDUL,flp-1,npr-4,157,195
AIYL,BDUR,flp-1,npr-4,157,196
AIYR,BDUL,flp-1,npr-4,154,195
AIYR,BDUR,flp-1,npr-4,154,196
AIYL,PQR,flp-1,npr-4,157,289
AIYR,PQR,flp-1,npr-4,154,289
AIYL,RIVL,flp-1,npr-4,157,100
AIYL,RIVR,flp-1,npr-4,157,125
AIYR,RIVL,flp-1,npr-4,154,100
AIYR,RIVR,flp-1,npr-4,154,125
AVAL,AIAL,flp-1,npr-11,72,109
AVAL,AIAR,flp-1,npr-11,72,134
AVAR,AIAL,flp-1,npr-11,73,109
AVAR,AIAR,flp-1,npr-11,73,134
AVAL,AIYL,flp-1,npr-11,72,157
AVAL,AIYR,flp-1,npr-11,72,154
AVAR,AIYL,flp-1,npr-11,73,157
AVAR,AIYR,flp-1,npr-11,73,154
AVAL,AVAL,flp-1,npr-4,72,72
AVAL,AVAR,flp-1,npr-4,72,73
AVAR,AVAL,flp-1,npr-4,73,72
AVAR,AVAR,flp-1,npr-4,73,73
AVAL,BAGL,flp-1,npr-4,72,42
AVAL,BAGR,flp-1,npr-4,72,51
AVAR,BAGL,flp-1,npr-4,73,42
AVAR,BAGR,flp-1,npr-4,73,51
AVAL,BDUL,flp-1,npr-4,72,195
AVAL,BDUR,flp-1,npr-4,72,196
AVAR,BDUL,flp-1,npr-4,73,195
AVAR,BDUR,flp-1,npr-4,73,196
AVAL,PQR,flp-1,npr-4,72,289
AVAR,PQR,flp-1,npr-4,73,289
AVAL,RIVL,flp-1,npr-4,72,100
AVAL,RIVR,flp-1,npr-4,72,125
AVAR,RIVL,flp-1,npr-4,73,100
AVAR,RIVR,flp-1,npr-4,73,125
AVEL,AIAL,flp-1,npr-11,74,109
AVEL,AIAR,flp-1,npr-11,74,134
AVER,AIAL,flp-1,npr-11,92,109
AVER,AIAR,flp-1,npr-11,92,134
AVEL,AIYL,flp-1,npr-11,74,157
AVEL,AIYR,flp-1,npr-11,74,154
AVER,AIYL,flp-1,npr-11,92,157
AVER,AIYR,flp-1,npr-11,92,154
AVEL,AVAL,flp-1,npr-4,74,72
AVEL,AVAR,flp-1,npr-4,74,73
AVER,AVAL,flp-1,npr-4,92,72
AVER,AVAR,flp-1,npr-4,92,73
AVEL,BAGL,flp-1,npr-4,74,42
AVEL,BAGR,flp-1,npr-4,74,51
AVER,BAGL,flp-1,npr-4,92,42
AVER,BAGR,flp-1,npr-4,92,51
AVEL,BDUL,flp-1,npr-4,74,195
AVEL,BDUR,flp-1,npr-4,74,196
AVER,BDUL,flp-1,npr-4,92,195
AVER,BDUR,flp-1,npr-4,92,196
AVEL,PQR,flp-1,npr-4,74,289
AVER,PQR,flp-1,npr-4,92,289
AVEL,RIVL,flp-1,npr-4,74,100
AVEL,RIVR,flp-1,npr-4,74,125
AVER,RIVL,flp-1,npr-4,92,100
AVER,RIVR,flp-1,npr-4,92,125
AVKL,AIAL,flp-1,npr-11,163,109
AVKL,AIAR,flp-1,npr-11,163,134
AVKR,AIAL,flp-1,npr-11,158,109
AVKR,AIAR,flp-1,npr-11,158,134
AVKL,AIYL,flp-1,npr-11,163,157
AVKL,AIYR,flp-1,npr-11,163,154
AVKR,AIYL,flp-1,npr-11,158,157
AVKR,AIYR,flp-1,npr-11,158,154
AVKL,AVAL,flp-1,npr-4,163,72
AVKL,AVAR,flp-1,npr-4,163,73
AVKR,AVAL,flp-1,npr-4,158,72
AVKR,AVAR,flp-1,npr-4,158,73
AVKL,BAGL,flp-1,npr-4,163,42
AVKL,BAGR,flp-1,npr-4,163,51
AVKR,BAGL,flp-1,npr-4,158,42
AVKR,BAGR,flp-1,npr-4,158,51
AVKL,BDUL,flp-1,npr-4,163,195
AVKL,BDUR,flp-1,npr-4,163,196
AVKR,BDUL,flp-1,npr-4,158,195
AVKR,BDUR,flp-1,npr-4,158,196
AVKL,PQR,flp-1,npr-4,163,289
AVKR,PQR,flp-1,npr-4,158,289
AVKL,RIVL,flp-1,npr-4,163,100
AVKL,RIVR,flp-1,npr-4,163,125
AVKR,RIVL,flp-1,npr-4,158,100
AVKR,RIVR,flp-1,npr-4,158,125
M5,AIAL,flp-1,npr-11,20,109
M5,AIAR,flp-1,npr-11,20,134
M5,AIYL,flp-1,npr-11,20,157
M5,AIYR,flp-1,npr-11,20,154
M5,AVAL,flp-1,npr-4,20,72
M5,AVAR,flp-1,npr-4,20,73
M5,BAGL,flp-1,npr-4,20,42
M5,BAGR,flp-1,npr-4,20,51
M5,BDUL,flp-1,npr-4,20,195
M5,BDUR,flp-1,npr-4,20,196
M5,PQR,flp-1,npr-4,20,289
M5,RIVL,flp-1,npr-4,20,100
M5,RIVR,flp-1,npr-4,20,125
RIGL,AIAL,flp-1,npr-11,181,109
RIGL,AIAR,flp-1,npr-11,181,134
RIGR,AIAL,flp-1,npr-11,178,109
RIGR,AIAR,flp-1,npr-11,178,134
RIGL,AIYL,flp-1,npr-11,181,157
RIGL,AIYR,flp-1,npr-11,181,154
RIGR,AIYL,flp-1,npr-11,178,157
RIGR,AIYR,flp-1,npr-11,178,154
RIGL,AVAL,flp-1,npr-4,181,72
RIGL,AVAR,flp-1,npr-4,181,73
RIGR,AVAL,flp-1,npr-4,178,72
RIGR,AVAR,flp-1,npr-4,178,73
RIGL,BAGL,flp-1,npr-4,181,42
RIGL,BAGR,flp-1,npr-4,181,51
RIGR,BAGL,flp-1,npr-4,178,42
RIGR,BAGR,flp-1,npr-4,178,51
RIGL,BDUL,flp-1,npr-4,181,195
RIGL,BDUR,flp-1,npr-4,181,196
RIGR,BDUL,flp-1,npr-4,178,195
RIGR,BDUR,flp-1,npr-4,178,196
RIGL,PQR,flp-1,npr-4,181,289
RIGR,PQR,flp-1,npr-4,178,289
RIGL,RIVL,flp-1,npr-4,181,100
RIGL,RIVR,flp-1,npr-4,181,125
RIGR,RIVL,flp-1,npr-4,178,100
RIGR,RIVR,flp-1,npr-4,178,125
RMGL,AIAL,flp-1,npr-11,179,109
RMGL,AIAR,flp-1,npr-11,179,134
RMGR,AIAL,flp-1,npr-11,180,109
RMGR,AIAR,flp-1,npr-11,180,134
RMGL,AIYL,flp-1,npr-11,179,157
RMGL,AIYR,flp-1,npr-11,179,154
RMGR,AIYL,flp-1,npr-11,180,157
RMGR,AIYR,flp-1,npr-11,180,154
RMGL,AVAL,flp-1,npr-4,179,72
RMGL,AVAR,flp-1,npr-4,179,73
RMGR,AVAL,flp-1,npr-4,180,72
RMGR,AVAR,flp-1,npr-4,180,73
RMGL,BAGL,flp-1,npr-4,179,42
RMGL,BAGR,flp-1,npr-4,179,51
RMGR,BAGL,flp-1,npr-4,180,42
RMGR,BAGR,flp-1,npr-4,180,51
RMGL,BDUL,flp-1,npr-4,179,195
RMGL,BDUR,flp-1,npr-4,179,196
RMGR,BDUL,flp-1,npr-4,180,195
RMGR,BDUR,flp-1,npr-4,180,196
RMGL,PQR,flp-1,npr-4,179,289
RMGR,PQR,flp-1,npr-4,180,289
RMGL,RIVL,flp-1,npr-4,179,100
RMGL,RIVR,flp-1,npr-4,179,125
RMGR,RIVL,flp-1,npr-4,180,100
RMGR,RIVR,flp-1,npr-4,180,125
AIML,DVA,flp-10,egl-6,155,275
AIMR,DVA,flp-10,egl-6,156,275
AIML,HSNL,flp-10,egl-6,155,229
AIML,HSNR,flp-10,egl-6,155,230
