Sending,Receiving,Type,Number,IndexSending,IndexReceiving
I1L,I2L,S,10,1,3
I1L,I3,S,3,1,5
I1L,I5,S,2,1,15
I1L,I6,S,1,1,16
I1L,M2L,S,3,1,18
I1L,M3L,S,8,1,6
I1L,M3R,S,2,1,7
I1L,MCL,S,2,1,9
I1L,MCR,S,2,1,10
I1L,MI,S,2,1,11
I1L,NSML,S,3,1,12
I1R,I2R,S,6,2,4
I1R,I3,S,1,2,5
I1R,I5,S,2,2,15
I1R,M1,S,1,2,17
I1R,M2L,S,1,2,18
I1R,M2R,S,3,2,19
I1R,M3L,S,1,2,6
I1R,M3R,S,6,2,7
I1R,MCL,S,3,2,9
I1R,MCR,S,4,2,10
I1R,MI,S,1,2,11
I2L,I1L,S,2,3,1
I3,I1L,S,1,5,1
I5,I1L,S,2,15,1
I1R,NSML,S,1,2,12
I2L,I2R,S,3,3,4
I2L,I4,S,13,3,14
I2L,I5,S,2,3,15
I2L,I6,S,2,3,16
I2L,M1,S,1,3,17
I2L,M3R,S,3,3,7
I2L,M4,S,4,3,8
I2R,I1R,S,1,4,2
I2L,NSML,S,14,3,12
I2R,I2L,S,3,4,3
I2R,I4,S,20,4,14
I2R,I5,S,2,4,15
I2R,I6,S,3,4,16
I2R,M1,S,3,4,17
I2R,M2R,S,2,4,19
I2R,M3R,S,2,4,7
I2R,M4,S,3,4,8
I2R,MCL,S,1,4,9
I2R,NSML,S,34,4,12
I3,I1R,S,1,5,2
I3,I5,S,2,5,15
I3,I6,S,1,5,16
I3,M1,S,2,5,17
I3,M2L,S,2,5,18
I3,M3L,S,2,5,6
I3,M3R,S,2,5,7
I3,M4,S,2,5,8
I3,MCL,S,1,5,9
I3,MCR,S,2,5,10
I3,MI,S,1,5,11
I4,I2R,S,7,14,4
I4,I5,S,2,14,15
I4,M2L,S,5,14,18
I4,M3L,S,6,14,6
I4,M3R,S,22,14,7
I4,MI,S,1,14,11
I4,NSML,S,8,14,12
I5,I2L,S,3,15,3
I5,I2R,S,1,15,4
I5,I3,S,1,15,5
I5,I4,S,7,15,14
I5,M1,S,3,15,17
I5,M2L,S,4,15,18
I5,M3L,S,4,15,6
I5,M3R,S,2,15,7
I5,M4,S,19,15,8
I5,M5,S,2,15,20
I5,MI,S,4,15,11
I5,NSML,S,1,15,12
I6,I1R,S,1,16,2
I6,I2L,S,1,16,3
I6,I2R,S,4,16,4
I6,I3,S,12,16,5
I6,M3L,S,10,16,6
I6,M4,S,15,16,8
I6,NSML,S,24,16,12
M1,I1R,S,1,17,2
M1,I2L,S,3,17,3
M1,I2R,S,2,17,4
M1,I3,S,8,17,5
M1,I4,S,1,17,14
M1,I5,S,2,17,15
M1,M4,S,1,17,8
M1,M5,S,1,17,20
M1,MI,S,6,17,11
M1,NSML,S,2,17,12
M2L,I3,S,2,18,5
M2L,I4,S,8,18,14
M2L,I5,S,2,18,15
M2L,M3L,S,3,18,6
M2L,M3R,S,1,18,7
M2R,I4,S,1,19,14
M2R,I5,S,3,19,15
M2R,M3L,S,2,19,6
M2R,M3R,S,1,19,7
M3L,NSML,S,1,6,12
M3R,M4,S,2,7,8
M4,I4,S,5,8,14
M4,I5,S,1,8,15
M4,M2L,S,1,8,18
M4,M3L,S,1,8,6
M4,M4,S,15,8,8
M4,MCL,S,1,8,9
M5,I5,S,1,20,15
M5,M1,S,1,20,17
MI,I1L,S,1,11,1
MI,I3,S,2,11,5
MI,I4,S,1,11,14
MI,M1,S,7,11,17
MI,M2L,S,3,11,18
MI,M2R,S,2,11,19
MI,M3R,S,2,11,7
MI,MCL,S,3,11,9
MI,NSML,S,1,11,12
NSML,I2L,S,1,12,3
NSML,I2R,S,1,12,4
NSML,I4,S,3,12,14
NSML,I6,S,4,12,16
NSML,M3R,S,24,12,7
NSML,NSMR,S,7,12,13
MI,NSMR,S,2,11,13
M2R,NSMR,S,1,19,13
I6,NSMR,S,23,16,13
I5,NSMR,S,5,15,13
I4,NSMR,S,15,14,13
I3,NSMR,S,2,5,13
I2R,NSMR,S,7,4,13
I2L,NSMR,S,24,3,13
I1R,NSMR,S,2,2,13
AWAL,ADAL,S,1,93,168
BDUL,ADEL,S,3,195,170
ALNR,ADER,S,1,282,171
